FID,fid,geometry,stop_id,stop_name
cairo_metro_stops.1,1,POINT (31.334426654161287 29.849207611389144),fittingly.burst.octopus,Helwan
cairo_metro_stops.2,2,POINT (31.32507417667179 29.862607311989297),november.defensive.panthers,Ain Helwan
cairo_metro_stops.3,3,POINT (31.32009458929019 29.86946050099696),bead.mimic.name,Helwan University
cairo_metro_stops.4,4,POINT (31.313625182887336 29.879091902604873),cake.otter.croutons,Wadi Hof
cairo_metro_stops.5,5,POINT (31.30409621729642 29.897202641740474),amplifier.motorist.fancy,Hadayek Helwan
cairo_metro_stops.6,6,POINT (31.299664026134348 29.90639447695665),spouse.camp.wicked,El-Maasara
cairo_metro_stops.7,7,POINT (31.287631223829738 29.92598322785584),intruders.justifies.pulps,Tora El-Asmant
cairo_metro_stops.8,8,POINT (31.28153532608968 29.93647579174632),ahead.loads.pixel,Kozzika
cairo_metro_stops.9,9,POINT (31.2729214419732 29.94676441522105),messy.deprives.barn,Tora El-Balad
cairo_metro_stops.10,10,POINT (31.262991526779093 29.953320477319213),taped.plums.prance,Sakanat El-Maadi
cairo_metro_stops.11,11,POINT (31.25776048390066 29.96031038820087),bags.shortcuts.bead,Maadi
cairo_metro_stops.12,12,POINT (31.25089932814473 29.969816090254707),dishes.shower.educates,Hadayek El-Maadi
cairo_metro_stops.13,13,POINT (31.24221305094979 29.982097098272806),intervene.jigsaw.bloodshot,Dar El-Salam
cairo_metro_stops.14,14,POINT (31.231273864101258 29.99556481735506),quick.bathtubs.kiosk,El-Zahraa
cairo_metro_stops.15,15,POINT (31.229602376287446 30.006167363684547),upper.displays.scorecard,Mar Girgis
cairo_metro_stops.16,16,POINT (31.23123633437031 30.017701936599234),blink.accent.photo,El-Malek El-Saleh
cairo_metro_stops.17,17,POINT (31.235465876801097 30.029214751251942),mentioned.meanest.incurs,Al-Sayeda Zeinab
cairo_metro_stops.18,18,POINT (31.237866954681117 30.035653770272464),volcano.choppers.slings,Saad Zaghloul
cairo_metro_stops.19,19,POINT (31.23569619703363 30.04401211258369),survived.badge.backtrack,Sadat
cairo_metro_stops.20,20,POINT (31.2386702924561 30.05341104936673),smart.flying.indulges,Nasser
cairo_metro_stops.21,21,POINT (31.242349201018627 30.05699517878941),immune.runners.limit,Orabi
cairo_metro_stops.22,22,POINT (31.245893278715776 30.061017031753885),trusts.imperious.tarnished,Al-Shohadaa
